C,epsilon,error_ma,error_ms,Actual Values,Predctied values
1000,0.2,4.415747218772772,19.498823500099473,[42.9],[47.31574722]
1000,0.2,3.9512905516996852,15.612697023951203,[52.47],[56.42129055]
3000,0.2,3.8379837850526997,14.730119534327446,[59.03],[62.86798379]
3000,0.2,2.550351839280289,6.504294504120352,[60.73],[63.28035184]
3000,0.2,1.3169394304803461,1.7343294635538984,[64.32],[63.00306057]
3000,0.2,0.0896383274042023,0.008035029739822966,[73.6],[73.68963833]
3000,0.2,0.16754411811358239,0.028071031514458045,[98.49],[98.65754412]
3000,0.2,1.936601829961603,3.7504266478106296,[96.65],[94.71339817]
3000,0.2,1.0238998246497601,1.0483708509178096,[85.56],[86.58389982]
3000,0.2,1.7011016479449665,2.8937468166410807,[88.09],[89.79110165]
3000,0.2,0.6461678139236824,0.41753284375091065,[80.15],[79.50383219]
3000,0.2,2.347765854871497,5.512004509300491,[87.67],[85.32223415]
3000,0.2,2.0949263076376923,4.388716234432495,[81.36],[79.26507369]
3000,0.2,0.9996826298421553,0.9993653604081276,[77.79],[78.78968263]
2000,0.3,3.4394691808437727,11.829948245974133,[79.48],[82.91946918]
1000,0.2,9.145939969541132,83.64821792645004,[79.81],[88.95593997]
3000,0.3,3.0195531580272927,9.117701274152596,[107.631],[110.65055316]
3000,0.1,2.7194043455487815,7.395159994589597,[102.69],[105.40940435]
3000,0.2,0.28753682865509234,0.08267742783302792,[101.92],[102.20753683]
3000,0.2,0.8493921539715075,0.7214670312283571,[97.18],[98.02939215]
3000,0.1,10.268272874010393,105.43742781513765,[109.03],[98.76172713]
3000,0.2,2.0655691565025904,4.266575940294823,[105.25],[103.18443084]
3000,0.2,2.056471827826897,4.229076378645699,[99.9],[101.95647183]
1000,0.2,2.061448150932648,4.249568478983634,[101.],[103.06144815]
3000,0.2,1.7781834774332737,3.1619364794166898,[107.647],[105.86881652]
3000,0.1,0.5865849083698436,0.3440818547272578,[102.407],[101.82041509]
3000,0.2,0.2630823917846925,0.06921234486715444,[113.11],[113.37308239]
3000,0.2,0.8005790476789798,0.6409268115825822,[109.12],[109.92057905]
3000,0.4,1.398414196322861,1.955562264477313,[105.518],[106.9164142]
3000,0.2,0.3590391373244586,0.12890910213069143,[111.843],[112.20203914]
2000,0.3,4.823452714234293,23.265696086454167,[110.],[105.17654729]
3000,0.2,1.952845378859422,3.8136050737325995,[105.],[106.95284538]
3000,0.2,2.906972867339462,8.450491251447815,[120.04],[122.94697287]
3000,0.2,0.14071574796761865,0.019800921726086374,[118.87],[118.72928425]
3000,0.1,10.190484221250202,103.84596866354933,[120.83],[110.63951578]
2000,0.2,1.2599464350772394,1.5874650192638442,[142.59],[143.84994644]
